link,title,brand,modelNu,price
https://www.trendyol.com/acer/nitro-v-15-anv15-51-intel-i5-13420h-8gb-1tb-ssd-6gb-rtx4050-15-6-fhd-ips-144hz-freedos-nh-qnbey-003-p-794849833,"Intel I5-13420H 8GB 1TB SSD 6GB RTX4050 15.6""FHD IPS 144hz Freedos NH.QNBEY.003",ACER,Nitro V 15 ANV15-51,25399.0
https://www.trendyol.com/lenovo/ideapad-slim-3-15iah8-intel-core-i5-12450h-16gb-1tb-ssd-freedos-15-6-fhd-83er00hntr-p-859267346,"Intel Core I5 12450H 16GB 1tb SSD Freedos 15.6"" Fhd 83ER00HNTR",LENOVO,Ideapad Slim 3 15IAH8,16999.0
https://www.trendyol.com/asus/expertbook-b1502-intel-core-i5-1235u-16gb-512gb-ssd-15-6-fhd-win-11-pro-tasinabilir-bilgisayar-p-852182224,"Core İ5-1235U 16GB 512GB SSD 15,6"" Fhd Win 11 Pro Taşınabilir Bilgisayar",ASUS,Expertbook B1502 Intel,15525.44
https://www.trendyol.com/quadro/novabook-in16-1650p-cs-i5-1035g7-16gb-512gb-ssd-o-b-uhd-15-6-dos-siyah-notebook-p-804300550,"I5-1035g7 16gb 512gb Ssd O/b Uhd 15.6"" Dos Siyah Notebook",Quadro,Novabook In16-1650p-cs,13349.0
https://www.trendyol.com/acer/aspire-5-a515-57-566w-intel-i5-12450h-8gb-512gb-ssd-uhd-graphics-15-6-ips-freedos-nx-kn4ey-003-p-839317049,"Intel I5-12450H 8gb 512GB SSD UHD Graphics 15.6""IPS Freedos NX.KN4EY.003",ACER,Aspire 5 A515-57-566W,12999.0
https://www.trendyol.com/apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-p-68042136,"256gb Ssd Macos 13"" Qhd Taşınabilir Bilgisayar Uzay Grisi",Apple,Macbook Air M1 Çip 8gb,29499.0
https://www.trendyol.com/lenovo/v15-ryzen-3-7320u-8gb-256-ssd-15-6-freedos-tasinabilir-bilgisayar-82yu00p0tx-p-742227880,"256 Ssd 15.6"" Freedos Taşınabilir Bilgisayar 82yu00p0tx",LENOVO,V15 Ryzen 3-7320u 8gb,9299.0
https://www.trendyol.com/izoly/business-swift-xt-i5-3470-16gb-256gb-22-masaustu-bilgisayari-p-637243886,"I5-3470 16gb 256gb 22""masaüstü Bilgisayarı",IZOLY,Busıness Swift Xt,6499.0
https://www.trendyol.com/huawei/matebook-d16-intel-core-i5-12450h-16gb-512gb-ssd-windows11-home-laptop-huawei-tr-garantili-p-320165197,Core i5-12450H 16GB 512GB SSD Windows11 Home Laptop (Huawei TR Garantili),Huawei,Matebook D16 Intel,28999.0
https://www.trendyol.com/acer/aspire-3-a315-35-c8yj-intel-celeron-4500-uma-4gb-ram-128gb-ssd-15-6-fhd-windows11-home-p-832751437,"Intel Celeron 4500 Uma 4gb Ram 128gb Ssd 15,6” Fhd Windows11 Home",ACER,Aspire 3 A315-35-c8yj,7299.0
https://www.trendyol.com/lenovo/nb-v15-82yu0123tx-ryzen5-7520u-16gb-512ssd-o-b-15-6-dos-p-816046818,RYZEN5-7520U 16GB 512SSD O/B 15.6 DOS,LENOVO,NB V15 82YU0123TX,12399.0
https://www.trendyol.com/zeiron/rx44-plus-i5-3470-16gb-1tb-hdd-240gb-ssd-gt730-23-8-dual-curved-oyuncu-bilgisayari-p-338365031,"1TB HDD + 240GB SSD GT730 23.8"" Dual Curved Oyuncu Bilgisayarı",Zeiron,Rx44 Plus i5 3470 16GB,15749.0
https://www.trendyol.com/lenovo/v15-g4-iru-83a100hxtr-intel-core-i7-1355u-16gb-1tb-ssd-freedos-15-6-fhd-bilgisayar-p-838697367,Intel Core i7 1355U 16GB 1TB SSD Freedos 15.6'' FHD Bilgisayar,LENOVO,V15 G4 IRU 83A100HXTR,22626.0
https://www.trendyol.com/lenovo/ip3-83er000wtr-i5-12450h-8gb-lpddr5-512gb-ssd-15-6-freedos-p-772120068,I5-12450h 8gb Lpddr5 512gb Ssd 15.6'' Freedos,LENOVO,Ip3 83er000wtr,14259.01
https://www.trendyol.com/lenovo/v15-g3-intel-core-i5-1235u-16gb-512gb-ssd-windows-11-home-15-6-fhd-82tt00hdtra190-p-831880759,"1235U 16GB 512GB SSD Windows 11 Home 15.6"" FHD 82TT00HDTRA190",LENOVO,V15 G3 Intel Core i5,15399.99
https://www.trendyol.com/zeiron/dr15-i5-3470-16gb-256gb-ssd-1tb-hdd-rx550-4gb-23-8-curved-oyuncu-masaustu-bilgisayar-p-660626460,"256GB SSD+1TB HDD Rx550 4GB 23.8"" Curved Oyuncu Masaüstü Bilgisayar",Zeiron,Dr15 i5 3470 16GB,14999.0
https://www.trendyol.com/hp/victus-15-fa1035nt-7n9v4ea-i5-13500h-16gb-512gb-rtx4050-6gb-15-6-144hz-fhd-freedos-gaming-laptop-p-696878957,i5-13500H 16GB 512GB RTX4050 6GB 15.6 144Hz FHD Freedos Gaming Laptop,HP,Victus 15-FA1035NT 7N9V4EA,29791.11
https://www.trendyol.com/casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-p-358003688,"C370.4020-4C00B Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" HD",CASPER,Nirvana,8999.0
